ECRef,RegulatedEntityName,ReportingPeriodName,RegulatedEntityType,TotalExpenditure,DateIncurred,ExpenseCategoryName,SupplierName,FullAddress,AmountInEngland,AmountInScotland,AmountInWales,AmountInNorthernIreland,DateOfClaimForPayment,DatePaid,RedactedSupportingInvoiceId,RegulatedEntityId,SupplierId,JointCampaignName,UnregisteredCampaignerName,CampaigningName,IsOutsideSection75
SP0541008,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,"£1,188.20",13/11/2019,Advertising,Humphreys Signs Ltd,"Unit 7, Colomendy Industrial Estate, Rhyl Road, DENBIGH, DENBIGH, LL16 5TA, United Kingdom","£1,188.20",£0.00,£0.00,£0.00,13/11/2019,27/11/2019,71679.0,90,68282,,,,False
SP0541005,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£227.87,23/11/2019,Advertising,Liberal Democrat Image,"24 Cheyne Way, FARNBOROUGH, GU14 8RX, United Kingdom",£227.87,£0.00,£0.00,£0.00,23/11/2019,23/11/2019,71678.0,90,75294,,,,False
SP0541004,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£798.85,07/11/2019,Overheads and general administration,Haringey Liberal Democrats Printing Society,"35 Topsfield Parade, Tottenham Lane, LONDON, N8 8PT, United Kingdom",£798.85,£0.00,£0.00,£0.00,13/01/2020,14/01/2020,71677.0,90,76338,,,,False
SP0541003,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£801.80,07/11/2019,Overheads and general administration,Haringey Liberal Democrats Printing Society,"35 Topsfield Parade, Tottenham Lane, LONDON, N8 8PT, United Kingdom",£801.80,£0.00,£0.00,£0.00,13/01/2020,14/01/2020,71676.0,90,76338,,,,False
SP0541002,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£557.12,07/11/2019,Advertising,Hazel Grove Constituency Liberal Democrats,"8-10 Great George Street, London, SW1P 3AE, United Kingdom",£557.12,£0.00,£0.00,£0.00,15/12/2019,07/01/2020,71675.0,90,68762,,,,False
SP0541001,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,"£2,259.62",07/11/2019,Overheads and general administration,Hazel Grove Constituency Liberal Democrats,"8-10 Great George Street, London, SW1P 3AE, United Kingdom","£2,259.62",£0.00,£0.00,£0.00,15/12/2019,07/01/2020,71674.0,90,68762,,,,False
SP0541000,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,"£1,057.30",07/11/2019,Overheads and general administration,Hazel Grove Constituency Liberal Democrats,"8-10 Great George Street, London, SW1P 3AE, United Kingdom","£1,057.30",£0.00,£0.00,£0.00,15/12/2019,07/01/2020,71673.0,90,68762,,,,False
SP0540998,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£500.30,01/11/2019,Overheads and general administration,Bath and North East Somerset Liberal Democrats,"8-10 Great George Street, London, SW1P 3AE, United Kingdom",£500.30,£0.00,£0.00,£0.00,03/01/2020,05/01/2020,71672.0,90,76756,,,,False
SP0540997,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,"£1,692.12",07/11/2019,Overheads and general administration,Bath and North East Somerset Liberal Democrats,"8-10 Great George Street, London, SW1P 3AE, United Kingdom","£1,692.12",£0.00,£0.00,£0.00,26/12/2019,26/12/2019,71671.0,90,76756,,,,False
SP0540996,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£978.00,30/08/2019,Advertising,Humphreys Signs Ltd,"Unit 7, Colomendy Industrial Estate, Rhyl Road, DENBIGH, DENBIGH, LL16 5TA, United Kingdom",£978.00,£0.00,£0.00,£0.00,30/08/2019,02/09/2019,71670.0,90,68282,,,,False
SP0540995,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,"£9,399.01",09/12/2019,Unsolicited material to electors,Postal Choices Ltd t/a Onepost,"Unit G8, Bolingbroke Way, Patchway, Bristol, BS34 6FE, United Kingdom","£9,399.01",£0.00,£0.00,£0.00,09/12/2019,30/12/2019,71669.0,90,68100,,,,False
SP0540994,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,"£9,399.01",09/12/2019,Unsolicited material to electors,Postal Choices Ltd t/a Onepost,"Unit G8, Bolingbroke Way, Patchway, Bristol, BS34 6FE, United Kingdom","£9,399.01",£0.00,£0.00,£0.00,09/12/2019,30/12/2019,71668.0,90,68100,,,,False
SP0540993,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,"£5,276.49",02/12/2019,Unsolicited material to electors,Postal Choices Ltd t/a Onepost,"Unit G8, Bolingbroke Way, Patchway, Bristol, BS34 6FE, United Kingdom","£5,276.49",£0.00,£0.00,£0.00,02/12/2019,23/12/2019,71667.0,90,68100,,,,False
SP0540992,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,"£8,129.63",29/11/2019,Unsolicited material to electors,Postal Choices Ltd t/a Onepost,"Unit G8, Bolingbroke Way, Patchway, Bristol, BS34 6FE, United Kingdom","£8,129.63",£0.00,£0.00,£0.00,29/11/2019,20/12/2019,71666.0,90,68100,,,,False
SP0540990,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£713.00,01/12/2019,Unsolicited material to electors,Watford Liberal Democrats,"8-10 Great George Street, London, SW1P 3AE, United Kingdom",£713.00,£0.00,£0.00,£0.00,28/12/2019,29/12/2019,71665.0,90,68586,,,,False
SP0540989,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,"£3,564.00",07/11/2019,Advertising,Humphreys Signs Ltd,"Unit 7, Colomendy Industrial Estate, Rhyl Road, DENBIGH, DENBIGH, LL16 5TA, United Kingdom","£3,564.00",£0.00,£0.00,£0.00,13/11/2019,05/01/2020,71664.0,90,68282,,,,False
SP0540988,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,"£1,060.50",12/11/2019,Unsolicited material to electors,Mortons Media Group Ltd,"Media Centre, Morton Way, Horncastle, LN9 6JR, United Kingdom","£1,060.50",£0.00,£0.00,£0.00,13/11/2019,29/11/2019,71663.0,90,68080,,,,False
SP0540987,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£800.00,12/11/2019,Unsolicited material to electors,Park Communications Ltd,"Alpine Way, London, E6 6LA, United Kingdom",£800.00,£0.00,£0.00,£0.00,12/11/2019,20/12/2019,71662.0,90,68290,,,,False
SP0540986,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,"£3,190.32",04/11/2019,Unsolicited material to electors,Park Communications Ltd,"Alpine Way, London, E6 6LA, United Kingdom","£3,190.32",£0.00,£0.00,£0.00,30/11/2019,20/12/2019,71661.0,90,68290,,,,False
SP0540984,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£384.12,12/11/2019,Advertising,Chelmsford & Maldon Liberal Democrats,"8-10 Great George Street, London, SW1P 3AE, United Kingdom",£384.12,£0.00,£0.00,£0.00,28/12/2019,07/01/2019,71660.0,90,76763,,,,False
SP0540982,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,"£2,904.64",30/11/2019,Unsolicited material to electors,Park Communications Ltd,"Alpine Way, London, E6 6LA, United Kingdom","£2,904.64",£0.00,£0.00,£0.00,30/11/2019,08/01/2020,71659.0,90,68290,,,,False
SP0540981,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£495.04,06/11/2019,Unsolicited material to electors,Bishops Printers Ltd,"Spa House, Walton Road, Farlington, PORTSMOUTH, PO6 1TR, United Kingdom",£495.04,£0.00,£0.00,£0.00,06/11/2019,19/11/2019,71658.0,90,68288,,,,False
SP0540980,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£210.75,03/12/2019,Unsolicited material to electors,Sharman & Company Ltd,"Newark Rd, Eastern Industry, Peterborough, Cambridgeshire, PE1 5TD, United Kingdom",£210.75,£0.00,£0.00,£0.00,03/12/2019,09/01/2020,71657.0,90,68405,,,,False
SP0540979,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,"£5,558.00",01/11/2019,Unsolicited material to electors,Oxfordshire Liberal Democrats Printing Society,"Unit C4, Grange Court Business Park, Barton Lane, Abingdon, OX14 3NB, United Kingdom","£5,558.00",£0.00,£0.00,£0.00,30/11/2019,31/12/2019,71656.0,90,68393,,,,False
SP0540978,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£494.24,01/11/2019,Advertising,Oxfordshire Liberal Democrats Printing Society,"Unit C4, Grange Court Business Park, Barton Lane, Abingdon, OX14 3NB, United Kingdom",£494.24,£0.00,£0.00,£0.00,30/11/2019,31/12/2019,71655.0,90,68393,,,,False
SP0540977,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,"£3,138.80",04/10/2019,Unsolicited material to electors,Park Communications Ltd,"Alpine Way, London, E6 6LA, United Kingdom","£3,138.80",£0.00,£0.00,£0.00,30/11/2019,09/03/2020,71654.0,90,68290,,,,False
SP0540970,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£443.00,02/12/2019,Unsolicited material to electors,Park Communications Ltd,"Alpine Way, London, E6 6LA, United Kingdom",£443.00,£0.00,£0.00,£0.00,09/12/2019,20/12/2019,71653.0,90,68290,,,,False
SP0540969,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£707.00,28/11/2019,Unsolicited material to electors,Mortons Media Group Ltd,"Media Centre, Morton Way, Horncastle, LN9 6JR, United Kingdom",£707.00,£0.00,£0.00,£0.00,30/11/2019,13/12/2019,71652.0,90,68080,,,,False
SP0540968,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£615.40,20/11/2019,Unsolicited material to electors,Printech (Europe) Ltd,"Chase House, 7 Upper Chase, Chelmsford, Essex, ZZ0 0ZZ, United Kingdom",£615.40,£0.00,£0.00,£0.00,25/11/2019,06/12/2019,71651.0,90,68519,,,,False
SP0540967,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,"£1,032.24",03/12/2019,Unsolicited material to electors,Printech (Europe) Ltd,"Chase House, 7 Upper Chase, Chelmsford, Essex, ZZ0 0ZZ, United Kingdom","£1,032.24",£0.00,£0.00,£0.00,06/12/2019,21/12/2019,71650.0,90,68519,,,,False
SP0540966,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£266.50,20/11/2019,Unsolicited material to electors,Printech (Europe) Ltd,"Chase House, 7 Upper Chase, Chelmsford, Essex, ZZ0 0ZZ, United Kingdom",£266.50,£0.00,£0.00,£0.00,25/11/2019,06/12/2019,71649.0,90,68519,,,,False
SP0540965,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£481.46,04/12/2019,Unsolicited material to electors,Mortons Media Group Ltd,"Media Centre, Morton Way, Horncastle, LN9 6JR, United Kingdom",£481.46,£0.00,£0.00,£0.00,04/12/2019,18/12/2019,71648.0,90,68080,,,,False
SP0540959,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,"£1,785.00",07/11/2019,Advertising,Lewes Liberal Democrats,"8-10 Great George Street, London, SW1P 3AE, United Kingdom","£1,785.00",£0.00,£0.00,£0.00,17/12/2019,18/12/2019,71647.0,90,76145,,,,False
SP0540958,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£241.67,07/11/2019,Unsolicited material to electors,Twickenham & Richmond Liberal Democrats,"8-10 Great George Street, London, SW1P 3AE, United Kingdom",£241.67,£0.00,£0.00,£0.00,14/12/2019,10/01/2020,71646.0,90,76483,,,,False
SP0540957,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£315.62,07/11/2019,Unsolicited material to electors,Twickenham & Richmond Liberal Democrats,"8-10 Great George Street, London, SW1P 3AE, United Kingdom",£315.62,£0.00,£0.00,£0.00,14/12/2019,10/01/2020,71645.0,90,76483,,,,False
SP0540948,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£275.32,07/11/2019,Unsolicited material to electors,Twickenham & Richmond Liberal Democrats,"8-10 Great George Street, London, SW1P 3AE, United Kingdom",£275.32,£0.00,£0.00,£0.00,14/12/2019,10/01/2020,71644.0,90,76483,,,,False
SP0540947,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£238.01,07/11/2019,Unsolicited material to electors,Twickenham & Richmond Liberal Democrats,"8-10 Great George Street, London, SW1P 3AE, United Kingdom",£238.01,£0.00,£0.00,£0.00,14/12/2019,10/01/2020,71643.0,90,76483,,,,False
SP0540945,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£900.30,08/12/2019,Overheads and general administration,Sheffield Liberal Democrats,"8-10 Great George Street, London, SW1P 3AE, United Kingdom",£900.30,£0.00,£0.00,£0.00,13/12/2019,20/12/2019,71642.0,90,76760,,,,False
SP0540944,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£796.87,11/12/2019,Overheads and general administration,Sheffield Liberal Democrats,"8-10 Great George Street, London, SW1P 3AE, United Kingdom",£796.87,£0.00,£0.00,£0.00,30/11/2019,06/12/2019,71641.0,90,76760,,,,False
SP0540943,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,"£2,896.24",02/11/2019,Unsolicited material to electors,Park Communications Ltd,"Alpine Way, London, E6 6LA, United Kingdom","£2,896.24",£0.00,£0.00,£0.00,30/11/2019,18/12/2019,71640.0,90,68290,,,,False
SP0540942,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£292.40,10/12/2019,Unsolicited material to electors,Park Communications Ltd,"Alpine Way, London, E6 6LA, United Kingdom",£292.40,£0.00,£0.00,£0.00,11/12/2019,10/01/2020,71639.0,90,68290,,,,False
SP0540941,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£750.00,09/11/2019,Unsolicited material to electors,We Do Deliver,"364B Sharrow Vale Road, SHEFFIELD, S11 8ZP, United Kingdom",£750.00,£0.00,£0.00,£0.00,09/11/2019,20/12/2019,71638.0,90,76131,,,,False
SP0540940,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£750.00,02/11/2019,Unsolicited material to electors,We Do Deliver,"364B Sharrow Vale Road, SHEFFIELD, S11 8ZP, United Kingdom",£750.00,£0.00,£0.00,£0.00,02/11/2019,20/12/2019,71637.0,90,76131,,,,False
SP0540939,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,"£1,000.00",06/12/2019,Unsolicited material to electors,Essential Marketing,"75 Kingfield Road, Sheffield, S11 9AU, United Kingdom","£1,000.00",£0.00,£0.00,£0.00,06/12/2019,09/12/2019,71636.0,90,68578,,,,False
SP0540936,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£392.71,02/11/2019,Unsolicited material to electors,Pitney Bowes Ltd,"Building 5 Trident Place, Hatfield Business Park, Mosquito Way, Hatfield, AL1 9UJ, United Kingdom",£392.71,£0.00,£0.00,£0.00,06/12/2019,20/12/2019,71635.0,90,54193,,,,False
SP0540934,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£571.89,25/11/2019,Unsolicited material to electors,Sheffield Liberal Democrats,"8-10 Great George Street, London, SW1P 3AE, United Kingdom",£571.89,£0.00,£0.00,£0.00,03/01/2020,05/01/2020,71634.0,90,76760,,,,False
SP0540933,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£213.44,25/11/2019,Unsolicited material to electors,Mortons Media Group Ltd,"Media Centre, Morton Way, Horncastle, LN9 6JR, United Kingdom",£213.44,£0.00,£0.00,£0.00,03/12/2019,10/12/2019,71633.0,90,68080,,,,False
SP0540932,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£251.37,20/11/2019,Unsolicited material to electors,Sheffield Liberal Democrats,"8-10 Great George Street, London, SW1P 3AE, United Kingdom",£251.37,£0.00,£0.00,£0.00,03/01/2020,05/01/2020,71632.0,90,76760,,,,False
SP0540931,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£375.84,20/11/2019,Unsolicited material to electors,Fretwell Print & Design Ltd,"Healey Works, Goulbourne Street, KEIGHLEY, KEIGHLEY, BD21 1PX, United Kingdom",£375.84,£0.00,£0.00,£0.00,03/12/2019,01/12/2019,71631.0,90,68601,,,,False
SP0540927,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£820.41,09/11/2019,Unsolicited material to electors,Mortons Media Group Ltd,"Media Centre, Morton Way, Horncastle, LN9 6JR, United Kingdom",£820.41,£0.00,£0.00,£0.00,09/11/2019,06/12/2019,71630.0,90,68080,,,,False
SP0540925,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£393.56,05/11/2019,Unsolicited material to electors,Fretwell Print & Design Ltd,"Healey Works, Goulbourne Street, KEIGHLEY, KEIGHLEY, BD21 1PX, United Kingdom",£393.56,£0.00,£0.00,£0.00,05/11/2019,09/12/2019,71629.0,90,68601,,,,False
SP0540921,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£342.11,11/12/2019,Advertising,Sheffield Liberal Democrats,"8-10 Great George Street, London, SW1P 3AE, United Kingdom",£342.11,£0.00,£0.00,£0.00,15/12/2019,15/12/2019,71628.0,90,76760,,,,False
SP0540919,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£336.00,06/11/2019,Unsolicited material to electors,Mortons Media Group Ltd,"Media Centre, Morton Way, Horncastle, LN9 6JR, United Kingdom",£336.00,£0.00,£0.00,£0.00,03/12/2019,22/12/2019,71627.0,90,68080,,,,False
SP0540918,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,"£3,067.80",19/11/2019,Unsolicited material to electors,Park Communications Ltd,"Alpine Way, London, E6 6LA, United Kingdom","£3,067.80",£0.00,£0.00,£0.00,30/11/2019,22/12/2019,71626.0,90,68290,,,,False
SP0540917,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£514.32,19/11/2019,Unsolicited material to electors,Summit Print Ltd,"Unit 21d Holmethorpe Avenue, Redhill, RH1 2NB, United Kingdom",£514.32,£0.00,£0.00,£0.00,30/11/2019,22/12/2019,71625.0,90,68500,,,,False
SP0540916,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£966.00,06/11/2019,Unsolicited material to electors,Mortons Media Group Ltd,"Media Centre, Morton Way, Horncastle, LN9 6JR, United Kingdom",£966.00,£0.00,£0.00,£0.00,10/11/2019,22/12/2019,71624.0,90,68080,,,,False
SP0540915,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£517.82,04/11/2019,Unsolicited material to electors,Summit Print Ltd,"Unit 21d Holmethorpe Avenue, Redhill, RH1 2NB, United Kingdom",£517.82,£0.00,£0.00,£0.00,14/11/2019,22/12/2019,71623.0,90,68500,,,,False
SP0540912,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£400.00,06/11/2019,Advertising,Mole Valley Liberal Democrats,"8-10 Great George Street, London, SW1P 3AE, United Kingdom",£400.00,£0.00,£0.00,£0.00,30/12/2019,23/12/2019,71622.0,90,68766,,,,False
SP0540911,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,"£1,771.18",09/11/2019,Unsolicited material to electors,Park Communications Ltd,"Alpine Way, London, E6 6LA, United Kingdom",£0.00,"£1,771.18",£0.00,£0.00,30/11/2019,12/12/2019,71621.0,90,68290,,,,False
SP0540910,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£709.77,09/11/2019,Unsolicited material to electors,Scottish Liberal Democrats,"Party Headquarters, 4 Clifton Terrace, EDINBURGH, EH12 5DR, United Kingdom",£0.00,£709.77,£0.00,£0.00,06/12/2019,07/12/2019,71620.0,90,68523,,,,False
SP0540906,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£500.00,29/12/2019,Overheads and general administration,Orkney Lib dems,"4 Clifton Terrace, Edinburgh, EH12 5DR, United Kingdom",£0.00,£500.00,£0.00,£0.00,31/12/2019,31/12/2019,71619.0,90,76759,,,,False
SP0540903,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£204.00,02/11/2019,Unsolicited material to electors,We Do Deliver,"364B Sharrow Vale Road, SHEFFIELD, S11 8ZP, United Kingdom",£204.00,£0.00,£0.00,£0.00,02/11/2019,20/12/2019,71618.0,90,76131,,,,False
SP0540899,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£276.62,01/01/2019,Advertising,St Albans Liberal Democrats,"8-10 Great George Street, London, SW1P 3AE, United Kingdom",£276.62,£0.00,£0.00,£0.00,01/01/2020,09/01/2020,71617.0,90,68439,,,,False
SP0540898,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,"£2,941.77",07/11/2019,Unsolicited material to electors,St Albans Liberal Democrats,"8-10 Great George Street, London, SW1P 3AE, United Kingdom","£2,941.77",£0.00,£0.00,£0.00,31/12/2019,09/01/2020,71616.0,90,68439,,,,False
SP0540897,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£791.19,12/09/2019,Overheads and general administration,Warwick District Liberal Democrats,"8-10 Great George Street, London, SW1P 3AE, United Kingdom",£791.19,£0.00,£0.00,£0.00,31/12/2019,06/01/2020,71615.0,90,76757,,,,False
SP0540894,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£476.28,28/11/2019,Advertising,Bath and North East Somerset Liberal Democrats,"8-10 Great George Street, London, SW1P 3AE, United Kingdom",£476.28,£0.00,£0.00,£0.00,10/01/2020,10/01/2020,71614.0,90,76756,,,,False
SP0540893,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£348.04,13/11/2019,Unsolicited material to electors,Fretwell Print & Design Ltd,"Healey Works, Goulbourne Street, KEIGHLEY, KEIGHLEY, BD21 1PX, United Kingdom",£348.04,£0.00,£0.00,£0.00,20/11/2019,21/11/2019,71613.0,90,68601,,,,False
SP0540889,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£395.00,04/09/2019,Advertising,North Devon Liberal Democrats,"8-10 Great George Street, London, SW1P 3AE, United Kingdom",£395.00,£0.00,£0.00,£0.00,07/09/2019,25/09/2019,71612.0,90,76754,,,,False
SP0540888,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£385.80,04/09/2019,Advertising,North Devon Liberal Democrats,"8-10 Great George Street, London, SW1P 3AE, United Kingdom",£385.80,£0.00,£0.00,£0.00,07/09/2019,25/09/2019,71611.0,90,76754,,,,False
SP0540887,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£780.00,04/09/2019,Advertising,North Devon Liberal Democrats,"8-10 Great George Street, London, SW1P 3AE, United Kingdom",£780.00,£0.00,£0.00,£0.00,07/09/2019,25/09/2019,71610.0,90,76754,,,,False
SP0540886,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£648.70,05/11/2019,Advertising,Rother Valley Timber Ltd,"Station Yard, Tenterden Road, Rolvenden, CRANBROOK, TN17 4QZ, United Kingdom",£648.70,£0.00,£0.00,£0.00,05/11/2019,05/11/2019,71609.0,90,76753,,,,False
SP0540885,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£667.43,06/11/2019,Overheads and general administration,Montgomeryshire Liberal Democrats,"8-10 Great George Street, London, SW1P 3AE, United Kingdom",£0.00,£0.00,£667.43,£0.00,20/12/2019,10/01/2020,71608.0,90,68349,,,,False
SP0540884,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£648.60,06/11/2019,Advertising,Montgomeryshire Liberal Democrats,"8-10 Great George Street, London, SW1P 3AE, United Kingdom",£0.00,£0.00,£648.60,£0.00,20/12/2019,10/01/2020,71607.0,90,68349,,,,False
SP0540873,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,"£2,148.34",30/11/2019,Unsolicited material to electors,Park Communications Ltd,"Alpine Way, London, E6 6LA, United Kingdom",£0.00,"£2,148.34",£0.00,£0.00,30/11/2019,06/01/2020,71606.0,90,68290,,,,False
SP0540872,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£558.00,19/11/2019,Unsolicited material to electors,Mortons Media Group Ltd,"Media Centre, Morton Way, Horncastle, LN9 6JR, United Kingdom",£0.00,£558.00,£0.00,£0.00,13/12/2019,19/12/2019,71605.0,90,68080,,,,False
